ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,OBJID_SDSS,RA_SDSS,DEC_SDSS,Probability_SDSS
,deg,deg,,,deg,deg,
20230062979,356.596,50.548,0.04310,1237649770250830754,356.606,50.543,0.970
20230032116,59.587,50.518,0.07662,1237667137489143787,59.575,50.548,0.965
20230032148,152.551,50.553,0.07006,1237657590851567742,152.541,50.567,0.979
20230032169,181.671,50.572,0.06282,1237658613595177169,181.672,50.572,1.000
20230062983,222.080,50.580,0.07289,1237661416604762282,222.101,50.577,0.918
20230062984,356.003,50.583,0.02994,1237649770787701866,356.012,50.585,0.999
20230032181,183.911,50.590,0.02952,1237658613595766991,183.917,50.593,0.991
20230032185,166.009,50.596,0.02224,1237657628987097307,166.014,50.596,0.999
20230032194,184.475,50.606,0.02376,1237658613595963651,184.483,50.606,0.984
20230062991,230.881,50.612,0.00864,1237659326022418919,230.883,50.613,0.994
20230051392,126.876,50.591,0.05266,1237651271886307508,126.918,50.616,0.865
20230062995,23.268,50.629,0.02372,1237671068460516322,23.271,50.622,0.999
20230052759,172.183,50.627,0.02034,1237657627915059718,172.185,50.630,0.971
20230062996,357.473,50.633,0.02222,1237649769713959667,357.477,50.637,0.998
20230032213,58.845,50.640,0.01995,1237667138025948825,58.843,50.638,1.000
20230063003,242.492,50.653,0.04556,1237655130909704486,242.483,50.644,0.946
20230051401,123.198,50.657,0.05352,1237651497370845670,123.191,50.650,0.937
20230063001,59.828,50.651,0.03293,1237667137489272869,59.828,50.662,0.998
20230032259,197.049,50.709,0.06372,1237661957219745834,197.042,50.664,0.995
20230063007,211.457,50.663,0.00757,1237662303507448161,211.462,50.665,0.900
20230032224,170.813,50.660,0.04383,1237657855533580394,170.804,50.665,0.993
20230063008,204.801,50.670,0.01657,1237662301895065729,204.796,50.676,0.979
20230032243,119.930,50.689,0.04158,1237663548511420469,119.928,50.691,0.999
20230063016,211.492,50.709,0.00761,1237662303507448157,211.483,50.705,0.928
20230063017,247.328,50.710,0.02943,1237662700791136625,247.329,50.710,1.000
20230032253,118.963,50.702,0.05505,1237663916265243276,118.988,50.711,0.804
20230051383,192.406,50.720,0.04873,1237661152451232028,192.405,50.715,0.986
20230063019,23.512,50.717,0.01950,1237666215159726879,23.517,50.716,0.998
20230032269,186.466,50.724,0.04559,1237658205585670419,186.468,50.716,0.963
20230063024,214.865,50.732,0.01246,1237659119322923251,214.872,50.737,0.977
20230032277,183.953,50.739,0.01549,1237658205584949556,183.954,50.740,1.000
20230032284,182.557,50.753,0.05145,1237658205584556294,182.559,50.744,0.969
20230032258,119.787,50.707,0.06414,1237663915728502867,119.764,50.748,0.898
20230032289,170.988,50.756,0.04431,1237657855533646094,170.984,50.754,0.997
20230032291,137.351,50.760,0.01601,1237654380903596494,137.347,50.759,0.993
20230032282,153.255,50.751,0.06874,1237658802029461550,153.277,50.760,0.959
20230032299,191.527,50.768,0.03828,1237661152450970350,191.528,50.767,0.984
20230032317,191.768,50.782,0.04441,1237661152451035456,191.738,50.779,0.962
20230052729,195.859,50.782,0.00743,1237661957219418866,195.861,50.784,0.903
20230063034,241.005,50.787,0.03372,1237651251512803577,241.011,50.790,0.990
20230032327,121.319,50.794,0.06910,1237663530794877538,121.319,50.792,0.947
20230032324,156.261,50.792,0.02409,1237657589778744104,156.261,50.794,0.999
20230063037,148.933,50.796,0.03931,1237657632727237114,148.941,50.797,0.840
20230056345,151.670,50.807,0.02488,1237657591388242021,151.671,50.808,1.000
20230063033,358.491,50.786,0.03966,1237649768640283632,358.541,50.813,0.398
20230063041,249.101,50.813,0.04744,1237665570903621924,249.097,50.820,0.995
20230063046,355.906,50.835,0.04293,1237649770787832069,355.915,50.821,0.971
20230032358,146.925,50.830,0.04925,1237657770708828328,146.934,50.823,0.957
20230032356,119.756,50.826,0.05427,1237663915728502937,119.764,50.830,0.972
20230032362,200.501,50.832,0.06003,1237662301357015250,200.502,50.831,0.999
20230032363,119.962,50.833,0.05478,1237663915728568373,119.921,50.840,0.981
20230032367,120.419,50.838,0.05969,1237663531331616958,120.443,50.842,0.906
